"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg","NP_X"
"1","cfa",1,0,0.375,0.375,0,0,0.125,0,0.125,0,0,0,0
"2","yeaQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"3","ompC",1,0,0.0232558139534884,0.302325581395349,0.255813953488372,0,0.13953488372093,0.116279069767442,0,0,0.0465116279069767,0.116279069767442,0
"4","slp",1,0,0.263157894736842,0.315789473684211,0.0350877192982456,0.12280701754386,0.105263157894737,0,0.0350877192982456,0.0350877192982456,0.087719298245614,0,0
"5","hdeB",1,0,0.176470588235294,0.352941176470588,0.137254901960784,0.0392156862745098,0.0588235294117647,0.0392156862745098,0.0392156862745098,0.0588235294117647,0.0784313725490196,0.0196078431372549,0
"6","hdeD",1,0,0.268292682926829,0.317073170731707,0.024390243902439,0.146341463414634,0,0,0.0975609756097561,0.024390243902439,0.0975609756097561,0.024390243902439,0
"7","osmY",1,0,0,0.136363636363636,0.363636363636364,0,0.0909090909090909,0.181818181818182,0.0227272727272727,0.0909090909090909,0,0.113636363636364,0
"8","cbpA",1,0,0,0.375,0.125,0,0.125,0,0.125,0.25,0,0,0
"9","hdeA",1,0,0.176470588235294,0.352941176470588,0.137254901960784,0.0392156862745098,0.0588235294117647,0.0392156862745098,0.0392156862745098,0.0588235294117647,0.0784313725490196,0.0196078431372549,0
"10","yahO",0,1,0,0,0,0,0,0,0,0,0,0,0
"11","yccJ",1,0,0.25,0,0,0.25,0,0,0.5,0,0,0,0
"12","asr",1,0,0.142857142857143,0.428571428571429,0,0,0,0,0.285714285714286,0.142857142857143,0,0,0
"13","ydiZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"14","yebV",0,1,0,0,0,0,0,0,0,0,0,0,0
"15","yhiM",1,0,0.217391304347826,0.347826086956522,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.130434782608696,0,0,0
"16","wrbA",1,0,0.2,0,0,0.4,0,0,0.4,0,0,0,0
"17","ycaC",1,0,0,0,0,0,0,1,0,0,0,0,0
"18","gadB",1,0,0.160919540229885,0.32183908045977,0.114942528735632,0.103448275862069,0.0804597701149425,0.0229885057471264,0.0459770114942529,0.0459770114942529,0.0574712643678161,0.0459770114942529,0
"19","gadA",1,0,0.178571428571429,0.321428571428571,0.142857142857143,0.107142857142857,0.0714285714285714,0,0.0714285714285714,0.0714285714285714,0.0178571428571429,0.0178571428571429,0
"20","yiaG",1,0,0,0.5,0,0,0,0,0,0.5,0,0,0
"21","dps",1,0,0.176470588235294,0.294117647058824,0.0882352941176471,0.0882352941176471,0.0882352941176471,0,0.117647058823529,0.0588235294117647,0.0882352941176471,0,0
"22","ybaT",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0
"23","aceK",1,0,0.25,0.25,0.125,0.375,0,0,0,0,0,0,0
"24","acnA",1,0,0.269230769230769,0.307692307692308,0.0384615384615385,0.0769230769230769,0.115384615384615,0,0.192307692307692,0,0,0,0
"25","add",0,1,0,0,0,0,0,0,0,0,0,0,0
"26","ahpF",1,0,0.5,0.333333333333333,0,0,0,0,0.166666666666667,0,0,0,0
"27","alaT",1,0,0.4,0.4,0.1,0.1,0,0,0,0,0,0,0
"28","alaU",1,0,0.571428571428571,0.285714285714286,0,0.142857142857143,0,0,0,0,0,0,0
"29","aroA",0,1,0,0,0,0,0,0,0,0,0,0,0
"30","aroH",0,1,0,0,0,0,0,0,0,0,0,0,0
"31","aroP",1,0,0.166666666666667,0.583333333333333,0.0833333333333333,0,0,0,0.0833333333333333,0,0.0833333333333333,0,0
"32","bcsE",0,1,0,0,0,0,0,0,0,0,0,0,0
"33","cyaA",0,1,0,0,0,0,0,0,0,0,0,0,0
"34","cyoB",1,0,0.146341463414634,0.487804878048781,0.170731707317073,0.024390243902439,0.024390243902439,0,0,0.0975609756097561,0.0487804878048781,0,0
"35","dadA",0,1,0,0,0,0,0,0,0,0,0,0,0
"36","dadX",0,1,0,0,0,0,0,0,0,0,0,0,0
"37","acrR",0,1,0,0,0,0,0,0,0,0,0,0,0
"38","atpH",0,1,0,0,0,0,0,0,0,0,0,0,0
"39","bax",0,1,0,0,0,0,0,0,0,0,0,0,0
"40","bioB",0,1,0,0,0,0,0,0,0,0,0,0,0
"41","borD",1,0,0,0,0,1,0,0,0,0,0,0,0
"42","btuB",0,1,0,0,0,0,0,0,0,0,0,0,0
"43","cirA",1,0,0.111111111111111,0.555555555555556,0.222222222222222,0,0,0,0,0,0,0.111111111111111,0
"44","cpxA",1,0,0.166666666666667,0.5,0,0,0,0,0.166666666666667,0,0.166666666666667,0,0
"45","cpxR",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0
"46","dadX",0,1,0,0,0,0,0,0,0,0,0,0,0
"47","dcuR",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"48","artM",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0
"49","asnA",1,0,0.25,0.5,0,0.25,0,0,0,0,0,0,0
"50","aspA",1,0,0.428571428571429,0.428571428571429,0,0,0,0,0,0.142857142857143,0,0,0
"51","atpA",0,1,0,0,0,0,0,0,0,0,0,0,0
"52","atpB",0,1,0,0,0,0,0,0,0,0,0,0,0
"53","atpC",0,1,0,0,0,0,0,0,0,0,0,0,0
"54","atpD",0,1,0,0,0,0,0,0,0,0,0,0,0
"55","atpE",0,1,0,0,0,0,0,0,0,0,0,0,0
"56","atpF",0,1,0,0,0,0,0,0,0,0,0,0,0
"57","atpG",0,1,0,0,0,0,0,0,0,0,0,0,0
"58","atpI",0,1,0,0,0,0,0,0,0,0,0,0,0
"59","aer",1,0,0.3,0.3,0,0,0.1,0,0.2,0.1,0,0,0
"60","cca",0,1,0,0,0,0,0,0,0,0,0,0,0
"61","cdd",0,1,0,0,0,0,0,0,0,0,0,0,0
"62","cheA",1,0,0,1,0,0,0,0,0,0,0,0,0
"63","cheB",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0
"64","cheR",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0
"65","cheW",1,0,0,1,0,0,0,0,0,0,0,0,0
"66","cheY",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0
"67","cheZ",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0
"68","clpB",1,0,1,0,0,0,0,0,0,0,0,0,0
"69","clpX",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"70","deoA",1,0,0,0.5,0,0.5,0,0,0,0,0,0,0
"71","deoB",1,0,0,0.5,0.25,0.25,0,0,0,0,0,0,0
"72","deoC",1,0,0,0.5,0,0.5,0,0,0,0,0,0,0
"73","deoD",1,0,0,0.5,0,0.5,0,0,0,0,0,0,0
"74","dapB",0,1,0,0,0,0,0,0,0,0,0,0,0
"75","dcyD",0,1,0,0,0,0,0,0,0,0,0,0,0
"76","edd",1,0,0,1,0,0,0,0,0,0,0,0,0
"77","eno",1,0,0.25,0.25,0,0,0,0,0.5,0,0,0,0
"78","fdoG",1,0,0,0,0,0,0,0.5,0,0,0,0.5,0
"79","fimA",1,0,0.583333333333333,0,0,0.416666666666667,0,0,0,0,0,0,0
"80","fimC",1,0,0.583333333333333,0,0,0.416666666666667,0,0,0,0,0,0,0
"81","fimI",1,0,0.583333333333333,0,0,0.416666666666667,0,0,0,0,0,0,0
"82","flgH",1,0,0.272727272727273,0,0,0.727272727272727,0,0,0,0,0,0,0
"83","flhA",1,0,0.272727272727273,0,0,0.727272727272727,0,0,0,0,0,0,0
"84","flhE",1,0,0.272727272727273,0,0,0.727272727272727,0,0,0,0,0,0,0
"85","fliP",1,0,0.3125,0,0,0.6875,0,0,0,0,0,0,0
"86","fliQ",1,0,0.3125,0,0,0.6875,0,0,0,0,0,0,0
"87","fliR",1,0,0.3125,0,0,0.6875,0,0,0,0,0,0,0
"88","fumA",1,0,0.0909090909090909,0.545454545454546,0.272727272727273,0,0,0.0909090909090909,0,0,0,0,0
"89","gapC",0,1,0,0,0,0,0,0,0,0,0,0,0
"90","dcuS",1,0,0,1,0,0,0,0,0,0,0,0,0
"91","dppC",1,0,0.1,0.2,0.1,0.3,0,0,0,0,0.2,0.1,0
"92","dusA",0,1,0,0,0,0,0,0,0,0,0,0,0
"93","eco",0,1,0,0,0,0,0,0,0,0,0,0,0
"94","fdhD",0,1,0,0,0,0,0,0,0,0,0,0,0
"95","fhuD",0,1,0,0,0,0,0,0,0,0,0,0,0
"96","folP",0,1,0,0,0,0,0,0,0,0,0,0,0
"97","frdA",1,0,0.1875,0.375,0.0625,0.125,0,0,0.125,0.125,0,0,0
"98","frdC",1,0,0.272727272727273,0.272727272727273,0,0.181818181818182,0,0,0.181818181818182,0.0909090909090909,0,0,0
"99","ftnB",1,0,0.8,0,0,0,0,0,0.2,0,0,0,0
"100","fucI",1,0,0.2,0.4,0,0,0.2,0,0,0.2,0,0,0
"101","gcvH",1,0,0.428571428571429,0.428571428571429,0,0,0.142857142857143,0,0,0,0,0,0
"102","carA",1,0,0.304347826086957,0.521739130434782,0.130434782608696,0.0434782608695652,0,0,0,0,0,0,0
"103","coaA",0,1,0,0,0,0,0,0,0,0,0,0,0
"104","codB",1,0,0,0,0,0,1,0,0,0,0,0,0
"105","cspD",1,0,0.25,0.5,0,0,0,0,0.25,0,0,0,0
"106","cvpA",1,0,0,0,1,0,0,0,0,0,0,0,0
"107","cydA",1,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"108","cydB",1,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"109","cydC",1,0,0.272727272727273,0.545454545454546,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0,0
"110","cydD",1,0,0.428571428571429,0.428571428571429,0,0,0,0,0,0,0.142857142857143,0,0
"111","dnaJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"112","dnaK",0,1,0,0,0,0,0,0,0,0,0,0,0
"113","dsbC",1,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0
"114","fdoH",0,1,0,0,0,0,0,0,0,0,0,0,0
"115","flgB",1,0,0.272727272727273,0,0,0.727272727272727,0,0,0,0,0,0,0
"116","flgC",1,0,0.272727272727273,0,0,0.727272727272727,0,0,0,0,0,0,0
"117","flgD",1,0,0.272727272727273,0,0,0.727272727272727,0,0,0,0,0,0,0
"118","flgE",1,0,0.272727272727273,0,0,0.727272727272727,0,0,0,0,0,0,0
"119","flgF",1,0,0.272727272727273,0,0,0.727272727272727,0,0,0,0,0,0,0
"120","flgG",1,0,0.272727272727273,0,0,0.727272727272727,0,0,0,0,0,0,0
"121","flgI",1,0,0.272727272727273,0,0,0.727272727272727,0,0,0,0,0,0,0
"122","flgJ",1,0,0.272727272727273,0,0,0.727272727272727,0,0,0,0,0,0,0
"123","flgK",0,1,0,0,0,0,0,0,0,0,0,0,0
"124","flgL",0,1,0,0,0,0,0,0,0,0,0,0,0
"125","gatA",1,0,0,1,0,0,0,0,0,0,0,0,0
"126","gatB",1,0,0,1,0,0,0,0,0,0,0,0,0
"127","gatC",1,0,0,1,0,0,0,0,0,0,0,0,0
"128","gatD",1,0,0,1,0,0,0,0,0,0,0,0,0
