"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg","NP_X"
"1","idnO",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"2","idnD",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"3","idnK",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"4","idnR",1,0,0,1,0,0,0,0,0,0,0,0,0
"5","gntU",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"6","cspG",0,1,0,0,0,0,0,0,0,0,0,0,0
"7","gntK",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"8","yjgR",0,1,0,0,0,0,0,0,0,0,0,0,0
"9","yjjZ",1,0,0,1,0,0,0,0,0,0,0,0,0
"10","flhC",1,0,0.0614035087719298,0.342105263157895,0.377192982456141,0.0087719298245614,0.0175438596491228,0.131578947368421,0.0087719298245614,0,0.0175438596491228,0.0350877192982456,0
"11","alr",0,1,0,0,0,0,0,0,0,0,0,0,0
"12","glpF",1,0,0,0.5,0,0,0,0,0,0,0,0.5,0
"13","yddH",0,1,0,0,0,0,0,0,0,0,0,0,0
"14","cspA",1,0,0.25,0.5,0,0.25,0,0,0,0,0,0,0
"15","glpT",1,0,0.166666666666667,0.2,0.0666666666666667,0.0333333333333333,0.133333333333333,0.1,0,0.266666666666667,0,0.0333333333333333,0
"16","codA",1,0,0,0,0,0,1,0,0,0,0,0,0
"17","flhD",1,0,0.0598290598290598,0.350427350427351,0.376068376068376,0.00854700854700855,0.0170940170940171,0.128205128205128,0.00854700854700855,0,0.0170940170940171,0.0341880341880342,0
"18","metQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"19","mcrB",0,1,0,0,0,0,0,0,0,0,0,0,0
"20","garR",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"21","metI",0,1,0,0,0,0,0,0,0,0,0,0,0
"22","malZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"23","ykgM",0,1,0,0,0,0,0,0,0,0,0,0,0
"24","kdgK",0,1,0,0,0,0,0,0,0,0,0,0,0
"25","zraP",0,1,0,0,0,0,0,0,0,0,0,0,0
