"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1"
"1","hisC",0,1,0,0,0,0,0,0,0,0
"2","livK",0,1,0,0,0,0,0,0,0,0
"3","lysC",0,1,0,0,0,0,0,0,0,0
"4","tesA",0,1,0,0,0,0,0,0,0,0
"5","trpD",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"6","tcyL",0,1,0,0,0,0,0,0,0,0
"7","garD",0,1,0,0,0,0,0,0,0,0
"8","garL",1,0,0,0.25,0,0.25,0,0,0.5,0
"9","sgbH",1,0,0,0.3,0.2,0,0,0.4,0.1,0
"10","uxuB",1,0,0,0.111111111111111,0.111111111111111,0,0.222222222222222,0,0.555555555555556,0
"11","fliQ",1,0,0,1,0,0,0,0,0,0
"12","nmpC",0,1,0,0,0,0,0,0,0,0
"13","btuB",1,0,0,0,0,0,0,0,1,0
"14","hsdR",0,1,0,0,0,0,0,0,0,0
"15","hcxB",0,1,0,0,0,0,0,0,0,0
"16","rihA",0,1,0,0,0,0,0,0,0,0
"17","rihC",0,1,0,0,0,0,0,0,0,0
"18","ccmC",1,0,0,0.5,0.166666666666667,0,0,0,0.333333333333333,0
"19","nohD",0,1,0,0,0,0,0,0,0,0
"20","sbcB",0,1,0,0,0,0,0,0,0,0
"21","insH10",0,1,0,0,0,0,0,0,0,0
"22","insH11",0,1,0,0,0,0,0,0,0,0
"23","insH3",0,1,0,0,0,0,0,0,0,0
"24","insH4",0,1,0,0,0,0,0,0,0,0
"25","insH5",0,1,0,0,0,0,0,0,0,0
"26","insH6",0,1,0,0,0,0,0,0,0,0
"27","insH7",0,1,0,0,0,0,0,0,0,0
"28","insH8",0,1,0,0,0,0,0,0,0,0
"29","insH9",0,1,0,0,0,0,0,0,0,0
"30","dgcT",1,0,0,0,0,0,0,0,1,0
"31","fabR",0,1,0,0,0,0,0,0,0,0
"32","grcA",1,0,0,0.375,0,0,0,0.125,0.5,0
"33","cdaR",0,1,0,0,0,0,0,0,0,0
"34","pppA",0,1,0,0,0,0,0,0,0,0
"35","borD",1,0,0,0,0,0.5,0,0,0.5,0
