"","V1","Loop_number","No_loop","Loop"
"1","yjcH",15,0,1
"2","trpC",3,0,1
"3","cspB",0,0,1
"4","ygeY",0,0,1
"5","hyuA",0,0,1
"6","xdhD",0,0,1
"7","flu",3,0,1
"8","ygfM",0,0,1
"9","mokA",0,0,1
"10","ygeX",0,0,1
"11","fimF",12,0,1
"12","ygaY",0,0,1
"13","ttcC",0,0,1
"14","pdeC",0,0,1
"15","ompF",14,0,1
"16","yceK",0,0,1
"17","uspG",0,0,1
"18","ymdF",0,0,1
"19","yncL",0,0,1
"20","cfa",5,0,1
"21","slp",21,0,1
"22","gadE",32,0,1
"23","dps",14,0,1
"24","fimA",12,0,1
"25","fimC",12,0,1
"26","fimI",12,0,1
"27","ilvB",2,0,1
"28","ilvN",1,0,1
"29","proV",7,0,1
"30","purM",2,0,1
"31","yqjD",0,0,1
"32","srlA",12,0,1
"33","srlB",10,0,1
"34","srlD",10,0,1
"35","srlE",10,0,1
"36","srlR",5,0,1
"37","tdcE",9,0,1
"38","purT",2,0,1
"39","acs",15,0,1
"40","aroG",2,0,1
"41","cspG",0,0,1
"42","pspA",2,0,1
"43","pspB",2,0,1
"44","soxS",10,0,1
"45","xanP",0,0,1
"46","cspI",0,0,1
"47","yqjE",0,0,1
"48","msyB",0,0,1
"49","cbpM",2,0,1
"50","ydfK",0,0,1
"51","ytjA",0,0,1
"52","ynfN",0,0,1
"53","purE",1,0,1
"54","ibpB",8,0,1
"55","puuA",4,0,1
"56","yegP",0,0,1
"57","yghA",0,0,1
"58","ssnA",1,0,1
"59","yqjK",0,0,1
