"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1","NP_X"
"1","hisC",0,1,0,0,0,0,0,0,0,0,0
"2","livK",0,1,0,0,0,0,0,0,0,0,0
"3","lysC",0,1,0,0,0,0,0,0,0,0,0
"4","tesA",0,1,0,0,0,0,0,0,0,0,0
"5","trpD",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"6","tcyL",0,1,0,0,0,0,0,0,0,0,0
"7","garD",0,1,0,0,0,0,0,0,0,0,0
"8","garL",1,0,0,0.25,0,0.25,0,0,0.5,0,0
"9","sgbH",1,0,0,0.3,0.2,0,0,0.4,0.1,0,0
"10","uxuB",1,0,0,0.111111111111111,0.111111111111111,0,0.222222222222222,0,0.555555555555556,0,0
"11","fliQ",1,0,0,1,0,0,0,0,0,0,0
"12","nmpC",0,1,0,0,0,0,0,0,0,0,0
"13","btuB",1,0,0,0,0,0,0,0,1,0,0
"14","hsdR",0,1,0,0,0,0,0,0,0,0,0
"15","hcxB",0,1,0,0,0,0,0,0,0,0,0
"16","rihA",0,1,0,0,0,0,0,0,0,0,0
"17","rihC",0,1,0,0,0,0,0,0,0,0,0
"18","ccmC",1,0,0,0.5,0.166666666666667,0,0,0,0.333333333333333,0,0
"19","nohD",0,1,0,0,0,0,0,0,0,0,0
"20","sbcB",0,1,0,0,0,0,0,0,0,0,0
"21","insH10",0,1,0,0,0,0,0,0,0,0,0
"22","insH11",0,1,0,0,0,0,0,0,0,0,0
"23","insH3",0,1,0,0,0,0,0,0,0,0,0
"24","insH4",0,1,0,0,0,0,0,0,0,0,0
"25","insH5",0,1,0,0,0,0,0,0,0,0,0
"26","insH6",0,1,0,0,0,0,0,0,0,0,0
"27","insH7",0,1,0,0,0,0,0,0,0,0,0
"28","insH8",0,1,0,0,0,0,0,0,0,0,0
"29","insH9",0,1,0,0,0,0,0,0,0,0,0
"30","dgcT",1,0,0,0,0,0,0,0,1,0,0
"31","fabR",0,1,0,0,0,0,0,0,0,0,0
"32","grcA",1,0,0,0.375,0,0,0,0.125,0.5,0,0
"33","cdaR",0,1,0,0,0,0,0,0,0,0,0
"34","pppA",0,1,0,0,0,0,0,0,0,0,0
"35","borD",1,0,0,0,0,0.5,0,0,0.5,0,0
"36","yddB",0,1,0,0,0,0,0,0,0,0,0
"37","dcyD",0,1,0,0,0,0,0,0,0,0,0
"38","alaE",0,1,0,0,0,0,0,0,0,0,0
"39","yhcE",0,1,0,0,0,0,0,0,0,0,0
"40","yijD",0,1,0,0,0,0,0,0,0,0,0
"41","iraD",1,0,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0,0.571428571428571,0,0
"42","ymfL",0,1,0,0,0,0,0,0,0,0,0
"43","araA",1,0,0,1,0,0,0,0,0,0,0
"44","mglA",1,0,0,0.142857142857143,0,0.0714285714285714,0.142857142857143,0.0714285714285714,0.571428571428571,0,0
"45","mglB",1,0,0,0.166666666666667,0,0,0.166666666666667,0.0833333333333333,0.583333333333333,0,0
"46","mglC",1,0,0,0.142857142857143,0,0.0714285714285714,0.142857142857143,0.0714285714285714,0.571428571428571,0,0
"47","nirB",1,0,0.2,0.2,0,0,0.1,0.1,0.4,0,0
"48","hisJ",1,0,0,0.8,0,0,0,0,0.2,0,0
"49","fumB",1,0,0,0.533333333333333,0.0666666666666667,0.133333333333333,0,0.133333333333333,0.133333333333333,0,0
"50","hybA",1,0,0,0,0,0,0,0,1,0,0
"51","entB",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"52","fepB",1,0,0,0,0,0,0,0,1,0,0
"53","sucD",1,0,0.111111111111111,0.222222222222222,0.111111111111111,0.0555555555555556,0.111111111111111,0.111111111111111,0.277777777777778,0,0
"54","ompW",1,0,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"55","efeO",0,1,0,0,0,0,0,0,0,0,0
"56","fes",1,0,0,0.5,0,0.25,0,0,0.25,0,0
"57","entE",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"58","entC",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"59","fadE",1,0,0,1,0,0,0,0,0,0,0
"60","fepC",1,0,0,0,0,0,0,0,1,0,0
