"","V1","Loop_number","No_loop","Loop"
"1","idnO",2,0,1
"2","idnD",2,0,1
"3","idnK",5,0,1
"4","idnR",2,0,1
"5","gntU",5,0,1
"6","cspG",0,0,1
"7","gntK",5,0,1
"8","yjgR",0,0,1
"9","yjjZ",3,0,1
"10","flhC",33,0,1
"11","alr",0,0,1
"12","glpF",4,0,1
"13","yddH",0,0,1
"14","cspA",4,0,1
"15","glpT",16,0,1
"16","codA",1,0,1
"17","menI",0,0,1
"18","flhD",33,0,1
"19","metQ",1,0,1
"20","mcrB",0,0,1
"21","garR",4,0,1
"22","metI",1,0,1
"23","bssR",0,0,1
"24","malZ",0,0,1
"25","ykgM",0,0,1
"26","kdgK",0,0,1
"27","zraP",1,0,1
"28","pspC",2,0,1
"29","pspD",2,0,1
"30","pspA",2,0,1
"31","pspB",2,0,1
"32","yjiN",0,0,1
"33","pspG",3,0,1
"34","zwf",13,0,1
"35","dapE",0,0,1
"36","secE",0,0,1
"37","obgE",3,0,1
"38","yebK",0,0,1
"39","ompX",3,0,1
"40","fabH",4,0,1
"41","yifK",0,0,1
"42","uup",0,0,1
"43","pyrH",0,0,1
"44","argI",3,0,1
"45","speE",0,0,1
"46","rplU",3,0,1
"47","rplY",2,0,1
"48","ldrD",0,0,1
"49","rluB",0,0,1
"50","yegD",0,0,1
"51","yddJ",0,0,1
"52","caiT",9,0,1
"53","alaS",0,0,1
"54","nusG",0,0,1
"55","dnaB",0,0,1
"56","zinT",6,0,1
"57","era",0,0,1
"58","rplL",1,0,1
"59","plsX",0,0,1
"60","lyxK",10,0,1
"61","yceD",0,0,1
"62","nadR",0,0,1
"63","rep",0,0,1
"64","rplJ",1,0,1
"65","yiaK",10,0,1
"66","glpD",4,0,1
"67","pabB",0,0,1
"68","gudP",0,0,1
"69","malI",0,0,1
"70","serB",0,0,1
"71","trmD",3,0,1
"72","yhiN",0,0,1
"73","rpsN",1,0,1
"74","rpmB",0,0,1
"75","rplN",1,0,1
"76","dusB",11,0,1
"77","mreD",1,0,1
"78","mlaE",0,0,1
"79","sgbU",10,0,1
"80","tyrS",0,0,1
"81","modF",0,0,1
"82","coaE",0,0,1
"83","inaA",9,0,1
"84","rpmH",0,0,1
"85","cytR",0,0,1
"86","potA",0,0,1
"87","deaD",1,0,1
"88","rplE",1,0,1
"89","pyrE",0,0,1
"90","sgbE",10,0,1
"91","rpsS",9,0,1
"92","aroL",2,0,1
"93","lpxT",0,0,1
"94","rph",0,0,1
"95","rplS",3,0,1
"96","speB",2,0,1
"97","cobT",0,0,1
"98","stpA",5,0,1
"99","copA",1,0,1
"100","proQ",0,0,1
"101","dosC",0,0,1
"102","thiI",0,0,1
"103","guaB",6,0,1
"104","der",0,0,1
"105","tdcG",9,0,1
"106","rlhA",0,0,1
"107","upp",2,0,1
"108","cueO",0,0,1
"109","rplA",0,0,1
"110","rseP",0,0,1
"111","rpsA",2,0,1
"112","lamB",3,0,1
"113","rluA",0,0,1
"114","rpsO",6,0,1
"115","pcnB",4,0,1
"116","ldrA",0,0,1
"117","hokD",4,0,1
"118","rhlE",0,0,1
"119","yhbE",3,0,1
"120","rplM",3,0,1
"121","rplD",5,0,1
"122","rplF",2,0,1
"123","yidC",0,0,1
"124","mlaD",0,0,1
"125","recO",0,0,1
"126","wecB",2,0,1
"127","rpsD",2,0,1
"128","rpsI",8,0,1
"129","secA",0,0,1
"130","rpoA",2,0,1
"131","dbpA",0,0,1
"132","yihQ",0,0,1
"133","rplO",1,0,1
"134","pdeR",0,0,1
"135","rplP",9,0,1
"136","rimO",0,0,1
"137","hsdM",0,0,1
"138","gutQ",10,0,1
"139","hokB",0,0,1
"140","rimM",3,0,1
"141","cmoA",0,0,1
"142","rplV",9,0,1
"143","rpmF",0,0,1
"144","cmk",0,0,1
"145","rplW",9,0,1
"146","aroE",0,0,1
"147","tilS",0,0,1
"148","yebO",0,0,1
"149","yihL",0,0,1
"150","rnpA",0,0,1
"151","yebC",0,0,1
"152","pyrF",2,0,1
"153","rpsK",4,0,1
"154","gsk",0,0,1
"155","queA",0,0,1
"156","rpmD",1,0,1
"157","rplK",1,0,1
"158","rpsT",0,0,1
"159","entD",3,0,1
"160","ydcL",0,0,1
"161","rpsE",1,0,1
"162","prfB",0,0,1
"163","argA",3,0,1
"164","rpsF",3,0,1
"165","yadC",0,0,1
"166","lpxK",0,0,1
"167","proX",7,0,1
"168","rplQ",4,0,1
"169","folB",0,0,1
"170","rpsH",0,0,1
"171","fiu",3,0,1
"172","fecR",1,0,1
"173","yhdZ",1,0,1
"174","thiL",2,0,1
"175","zapE",0,0,1
"176","murR",1,0,1
"177","rplX",1,0,1
"178","rlmL",0,0,1
"179","aroM",2,0,1
"180","yhgF",0,0,1
"181","rlmN",0,0,1
"182","ilvH",1,0,1
"183","trhP",0,0,1
"184","rpmC",9,0,1
"185","yjfC",0,0,1
"186","rpsG",0,0,1
"187","cusC",4,0,1
"188","prmA",0,0,1
"189","rpsJ",9,0,1
"190","feoB",4,0,1
"191","ldrC",0,0,1
"192","ydiY",0,0,1
"193","rplB",9,0,1
"194","rffG",0,0,1
"195","soxS",10,0,1
"196","yjjG",0,0,1
"197","yajR",0,0,1
"198","infA",0,0,1
"199","ycaO",0,0,1
"200","purR",2,0,1
"201","ascF",6,0,1
"202","wecC",0,0,1
"203","pheS",0,0,1
"204","hemW",0,0,1
"205","potB",0,0,1
"206","coaD",0,0,1
"207","rplI",7,0,1
"208","rpsP",3,0,1
"209","rutA",1,0,1
"210","rpsM",4,0,1
"211","mrcA",0,0,1
"212","greA",2,0,1
"213","murA",0,0,1
"214","eptC",0,0,1
"215","recG",3,0,1
"216","rplC",9,0,1
"217","parE",0,0,1
"218","rplR",1,0,1
"219","ygiQ",0,0,1
"220","rpsC",9,0,1
"221","fhuB",1,0,1
"222","rlmC",0,0,1
"223","ybfE",0,0,1
"224","cysM",2,0,1
"225","rluC",0,0,1
"226","proB",0,0,1
"227","mhpB",3,0,1
"228","spoT",2,0,1
"229","rpsB",0,0,1
"230","punC",0,0,1
"231","narG",11,0,1
"232","gsiD",0,0,1
"233","rpiB",2,0,1
"234","bcsB",1,0,1
"235","yhdY",1,0,1
"236","ydhL",0,0,1
"237","mepM",0,0,1
"238","fecI",1,0,1
"239","purF",1,0,1
"240","znuA",2,0,1
"241","mutY",0,0,1
"242","narH",11,0,1
"243","suhB",0,0,1
"244","hcaE",1,0,1
"245","modA",3,0,1
"246","yfcJ",0,0,1
"247","lolD",0,0,1
"248","mreC",1,0,1
"249","rhtA",1,0,1
"250","msrC",0,0,1
"251","tsgA",0,0,1
"252","lysS",0,0,1
"253","lysA",2,0,1
"254","frmR",0,0,1
"255","xanP",0,0,1
"256","mrdA",0,0,1
"257","cysD",1,0,1
"258","rrrQ",0,0,1
"259","queD",0,0,1
"260","fusA",2,0,1
"261","tig",0,0,1
"262","rdgB",0,0,1
"263","priB",7,0,1
"264","prfC",0,0,1
"265","metF",1,0,1
"266","thrA",5,0,1
"267","yeiR",0,0,1
"268","purB",1,0,1
"269","yeiB",3,0,1
"270","tsf",1,0,1
"271","tsaB",0,0,1
"272","dpaA",0,0,1
"273","recQ",2,0,1
"274","kdpA",1,0,1
"275","cobS",0,0,1
"276","mdtA",3,0,1
"277","trmL",0,0,1
"278","ghxP",0,0,1
"279","yjeT",0,0,1
"280","rpsR",3,0,1
"281","gutM",5,0,1
"282","ydiJ",0,0,1
"283","ycfZ",0,0,1
"284","dusC",0,0,1
"285","lhgD",2,0,1
"286","ynjD",0,0,1
"287","yfhL",0,0,1
"288","narJ",11,0,1
"289","rutB",3,0,1
"290","apt",0,0,1
"291","yieH",0,0,1
"292","cysN",1,0,1
"293","yqeB",0,0,1
"294","rutC",1,0,1
"295","dgcN",2,0,1
"296","ibaG",0,0,1
"297","yehX",1,0,1
"298","rstA",0,0,1
"299","yehY",1,0,1
"300","yccF",0,0,1
"301","dgcJ",1,0,1
"302","cysU",2,0,1
"303","fepE",6,0,1
"304","yeaW",0,0,1
"305","ynfM",0,0,1
"306","yidD",0,0,1
"307","eutG",0,0,1
"308","holD",0,0,1
"309","cysJ",6,0,1
"310","ybgO",0,0,1
"311","clsC",0,0,1
"312","abgT",0,0,1
"313","yaiW",1,0,1
"314","abgB",0,0,1
"315","yhfA",0,0,1
"316","dauA",0,0,1
"317","abgA",0,0,1
"318","ykgG",0,0,1
"319","ynjE",0,0,1
"320","tmcA",0,0,1
"321","uraA",1,0,1
"322","ygeV",0,0,1
"323","yadI",0,0,1
"324","mhpR",1,0,1
"325","rbsR",3,0,1
"326","yjfN",0,0,1
"327","curA",0,0,1
"328","ivy",0,0,1
"329","dhaL",1,0,1
"330","fruA",0,0,1
"331","astA",5,0,1
"332","astC",7,0,1
"333","hxpA",0,0,1
