"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg"
"1","fumB",1,0,0.423076923076923,0.461538461538461,0.0384615384615385,0,0.0384615384615385,0,0,0.0384615384615385,0,0
"2","hybE",1,0,0,0,1,0,0,0,0,0,0,0
"3","hybB",1,0,0,0,1,0,0,0,0,0,0,0
"4","dmsA",1,0,0,0.263157894736842,0.210526315789474,0,0.157894736842105,0.157894736842105,0,0.105263157894737,0,0.105263157894737
"5","hybF",1,0,0,0,1,0,0,0,0,0,0,0
"6","hybO",1,0,0,0,1,0,0,0,0,0,0,0
"7","yncE",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"8","tdcE",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"9","treC",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"10","clpA",0,1,0,0,0,0,0,0,0,0,0,0
"11","entF",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"12","tdcD",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"13","lysU",0,1,0,0,0,0,0,0,0,0,0,0
"14","ynfG",1,0,0.111111111111111,0.222222222222222,0,0.444444444444444,0.111111111111111,0,0.111111111111111,0,0,0
"15","pepE",0,1,0,0,0,0,0,0,0,0,0,0
"16","tdcC",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"17","ansB",1,0,0.142857142857143,0.571428571428571,0,0,0.285714285714286,0,0,0,0,0
"18","hybA",1,0,0,0,1,0,0,0,0,0,0,0
"19","ydcZ",0,1,0,0,0,0,0,0,0,0,0,0
"20","hypA",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0
"21","tdcF",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"22","phoH",1,0,0.25,0.5,0,0.25,0,0,0,0,0,0
"23","hybD",1,0,0,0,1,0,0,0,0,0,0,0
"24","ynfF",1,0,0.111111111111111,0.222222222222222,0,0.222222222222222,0.222222222222222,0.111111111111111,0.111111111111111,0,0,0
"25","tdcB",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"26","frdC",1,0,0.272727272727273,0.272727272727273,0,0.181818181818182,0,0,0.181818181818182,0.0909090909090909,0,0
"27","tonB",0,1,0,0,0,0,0,0,0,0,0,0
"28","frdA",1,0,0.1875,0.375,0.0625,0.125,0,0,0.125,0.125,0,0
"29","treB",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"30","hybC",1,0,0,0,1,0,0,0,0,0,0,0
"31","hypB",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"32","dcuB",1,0,0.545454545454546,0.363636363636364,0,0,0,0,0,0.0909090909090909,0,0
"33","frdB",1,0,0.1875,0.375,0.0625,0.125,0,0,0.125,0.125,0,0
"34","hypC",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"35","rsxE",0,1,0,0,0,0,0,0,0,0,0,0
"36","ybdZ",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"37","leuA",0,1,0,0,0,0,0,0,0,0,0,0
"38","clpS",1,0,0,0,0,0,1,0,0,0,0,0
"39","icd",1,0,0.125,0,0.5,0,0.25,0.125,0,0,0,0
"40","gpmA",1,0,0,0.4,0.2,0,0,0,0.2,0,0.2,0
"41","yfcZ",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0
"42","sodA",1,0,0.0857142857142857,0.371428571428571,0.228571428571429,0.0714285714285714,0.1,0.0285714285714286,0.0428571428571429,0,0.0428571428571429,0.0285714285714286
"43","fis",1,0,0.2,0.2,0,0.6,0,0,0,0,0,0
