"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"1","crcB",0,1,0,0,0,0,0,0,0,0,0
"2","feoA",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0
"3","fimB",1,0,0,0.272727272727273,0,0.0909090909090909,0,0.454545454545455,0.181818181818182,0,0
"4","lrp",1,0,0,0.1,0,0.1,0.2,0,0.5,0.1,0
"5","nlpD",0,1,0,0,0,0,0,0,0,0,0
"6","relB",1,0,0,0,0,0,0,0,1,0,0
"7","relE",1,0,0,0,0,0,0,0,1,0,0
"8","ruvA",0,1,0,0,0,0,0,0,0,0,0
"9","sdiA",1,0,0,0.5,0,0,0,0,0.5,0,0
"10","yajI",0,1,0,0,0,0,0,0,0,0,0
"11","ybbC",0,1,0,0,0,0,0,0,0,0,0
"12","ybcW",0,1,0,0,0,0,0,0,0,0,0
"13","ycgJ",0,1,0,0,0,0,0,0,0,0,0
"14","ycgL",0,1,0,0,0,0,0,0,0,0,0
"15","ycgZ",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0
"16","ychE",0,1,0,0,0,0,0,0,0,0,0
"17","ydcD",0,1,0,0,0,0,0,0,0,0,0
"18","yefM",1,0,0,0,0,0,0,0,1,0,0
"19","ygaC",1,0,0,0,0,0,1,0,0,0,0
"20","yhhX",0,1,0,0,0,0,0,0,0,0,0
"21","yiiF",0,1,0,0,0,0,0,0,0,0,0
"22","lspA",1,0,0,1,0,0,0,0,0,0,0
"23","nuoE",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143,0
"24","nuoF",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143,0
"25","pgk",1,0,0,0.5,0,0,0,0.25,0,0.25,0
"26","rfbX",0,1,0,0,0,0,0,0,0,0,0
"27","thyA",0,1,0,0,0,0,0,0,0,0,0
"28","tktA",0,1,0,0,0,0,0,0,0,0,0
"29","ybiW",0,1,0,0,0,0,0,0,0,0,0
"30","yedF",0,1,0,0,0,0,0,0,0,0,0
"31","accD",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"32","agaR",0,1,0,0,0,0,0,0,0,0,0
"33","allR",0,1,0,0,0,0,0,0,0,0,0
"34","chpS",0,1,0,0,0,0,0,0,0,0,0
"35","cobU",0,1,0,0,0,0,0,0,0,0,0
"36","corA",0,1,0,0,0,0,0,0,0,0,0
"37","creA",1,0,0,0.5,0,0,0,0,0.5,0,0
"38","cybB",0,1,0,0,0,0,0,0,0,0,0
"39","dicA",0,1,0,0,0,0,0,0,0,0,0
"40","dsrB",0,1,0,0,0,0,0,0,0,0,0
"41","dtd",0,1,0,0,0,0,0,0,0,0,0
"42","flxA",0,1,0,0,0,0,0,0,0,0,0
"43","ftsE",0,1,0,0,0,0,0,0,0,0,0
"44","ftsY",0,1,0,0,0,0,0,0,0,0,0
"45","hipB",1,0,0,0.166666666666667,0,0,0,0.333333333333333,0.5,0,0
"46","hisL",0,1,0,0,0,0,0,0,0,0,0
"47","intF",0,1,0,0,0,0,0,0,0,0,0
"48","mobA",0,1,0,0,0,0,0,0,0,0,0
"49","mobB",0,1,0,0,0,0,0,0,0,0,0
"50","ogrK",0,1,0,0,0,0,0,0,0,0,0
"51","panD",1,0,0,0,0,0,0,0,1,0,0
"52","pdxJ",0,1,0,0,0,0,0,0,0,0,0
"53","ssb",1,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0
"54","sulA",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0
"55","tfaS",0,1,0,0,0,0,0,0,0,0,0
"56","umuD",1,0,0,0,0,0.5,0,0,0.5,0,0
"57","yacC",0,1,0,0,0,0,0,0,0,0,0
"58","yciN",0,1,0,0,0,0,0,0,0,0,0
"59","yebG",1,0,0,0,0,0.5,0,0,0.5,0,0
"60","yedJ",0,1,0,0,0,0,0,0,0,0,0
"61","yeiS",0,1,0,0,0,0,0,0,0,0,0
"62","yfdK",0,1,0,0,0,0,0,0,0,0,0
"63","yhaJ",0,1,0,0,0,0,0,0,0,0,0
"64","yhbP",0,1,0,0,0,0,0,0,0,0,0
"65","yhhM",0,1,0,0,0,0,0,0,0,0,0
"66","yibL",0,1,0,0,0,0,0,0,0,0,0
"67","yidB",0,1,0,0,0,0,0,0,0,0,0
"68","yifN",0,1,0,0,0,0,0,0,0,0,0
"69","yihD",0,1,0,0,0,0,0,0,0,0,0
"70","yjaG",0,1,0,0,0,0,0,0,0,0,0
"71","yjbD",0,1,0,0,0,0,0,0,0,0,0
"72","yjdJ",0,1,0,0,0,0,0,0,0,0,0
"73","yjjX",0,1,0,0,0,0,0,0,0,0,0
"74","ykgJ",0,1,0,0,0,0,0,0,0,0,0
"75","ymfK",0,1,0,0,0,0,0,0,0,0,0
"76","ymgA",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0
"77","ynjH",1,0,0,0,0,0.5,0,0,0.5,0,0
"78","yoaF",0,1,0,0,0,0,0,0,0,0,0
"79","yoaH",0,1,0,0,0,0,0,0,0,0,0
"80","yrdA",0,1,0,0,0,0,0,0,0,0,0
"81","zipA",0,1,0,0,0,0,0,0,0,0,0
"82","alaX",1,0,0,1,0,0,0,0,0,0,0
"83","ansA",0,1,0,0,0,0,0,0,0,0,0
"84","argQ",0,1,0,0,0,0,0,0,0,0,0
"85","argZ",0,1,0,0,0,0,0,0,0,0,0
"86","artI",1,0,0,0.5,0,0,0,0,0.5,0,0
"87","artP",1,0,0,0.5,0,0,0,0,0.5,0,0
"88","fbaA",1,0,0,0.5,0,0,0,0.25,0,0.25,0
"89","glnS",1,0,0,1,0,0,0,0,0,0,0
"90","glnW",1,0,0,1,0,0,0,0,0,0,0
"91","gltT",1,0,0,0.3,0,0.2,0.1,0,0.4,0,0
"92","gltU",1,0,0,0.428571428571429,0,0.285714285714286,0,0,0.285714285714286,0,0
"93","gltV",1,0,0,0.5,0,0.333333333333333,0,0,0.166666666666667,0,0
"94","gltW",1,0,0,0.5,0,0.333333333333333,0,0,0.166666666666667,0,0
"95","ileT",1,0,0,0.428571428571429,0,0.285714285714286,0,0,0.285714285714286,0,0
"96","ileU",1,0,0,0.5,0,0.333333333333333,0,0,0.166666666666667,0,0
"97","leuW",1,0,0,1,0,0,0,0,0,0,0
"98","lysQ",0,1,0,0,0,0,0,0,0,0,0
"99","lysT",1,0,0,1,0,0,0,0,0,0,0
"100","lysW",1,0,0,1,0,0,0,0,0,0,0
"101","lysY",0,1,0,0,0,0,0,0,0,0,0
"102","lysZ",0,1,0,0,0,0,0,0,0,0,0
"103","malE",1,0,0,0.636363636363636,0,0,0,0.181818181818182,0.181818181818182,0,0
"104","metT",1,0,0,0.5,0,0,0,0,0.5,0,0
"105","metU",1,0,0,1,0,0,0,0,0,0,0
"106","nuoA",1,0,0.125,0.125,0,0.0625,0.1875,0,0.375,0.125,0
"107","nuoB",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143,0
"108","oppA",1,0,0,0,0.25,0.25,0.25,0,0,0.25,0
"109","pepQ",0,1,0,0,0,0,0,0,0,0,0
"110","potC",0,1,0,0,0,0,0,0,0,0,0
"111","pssA",0,1,0,0,0,0,0,0,0,0,0
"112","rfaD",1,0,0,1,0,0,0,0,0,0,0
"113","ribE",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0
"114","serT",1,0,0,1,0,0,0,0,0,0,0
"115","thrV",1,0,0,0.5,0,0.333333333333333,0,0,0.166666666666667,0,0
"116","tyrT",1,0,0,1,0,0,0,0,0,0,0
"117","tyrV",1,0,0,1,0,0,0,0,0,0,0
"118","yfdH",0,1,0,0,0,0,0,0,0,0,0
"119","yfaZ",0,1,0,0,0,0,0,0,0,0,0
"120","ampD",0,1,0,0,0,0,0,0,0,0,0
"121","cueR",0,1,0,0,0,0,0,0,0,0,0
"122","intR",0,1,0,0,0,0,0,0,0,0,0
"123","priC",0,1,0,0,0,0,0,0,0,0,0
"124","seqA",0,1,0,0,0,0,0,0,0,0,0
"125","yajG",0,1,0,0,0,0,0,0,0,0,0
"126","ytfP",0,1,0,0,0,0,0,0,0,0,0
"127","yeaQ",0,1,0,0,0,0,0,0,0,0,0
"128","osmY",1,0,0.15,0.05,0,0.1,0.3,0,0.4,0,0
"129","hdeA",1,0,0.0555555555555556,0.444444444444445,0,0.166666666666667,0.0555555555555556,0,0.277777777777778,0,0
"130","yahO",0,1,0,0,0,0,0,0,0,0,0
"131","alaT",1,0,0,0.428571428571429,0,0.285714285714286,0,0,0.285714285714286,0,0
"132","alaU",1,0,0,0.5,0,0.333333333333333,0,0,0.166666666666667,0,0
"133","aroA",1,0,0,0,0,0,0,0,1,0,0
"134","cyoB",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667,0
"135","dadA",0,1,0,0,0,0,0,0,0,0,0
"136","atpH",1,0,0,0,0,0,0,0,1,0,0
"137","atpB",1,0,0,1,0,0,0,0,0,0,0
"138","atpE",0,1,0,0,0,0,0,0,0,0,0
"139","atpF",0,1,0,0,0,0,0,0,0,0,0
"140","atpG",0,1,0,0,0,0,0,0,0,0,0
"141","cheA",0,1,0,0,0,0,0,0,0,0,0
"142","cheB",0,1,0,0,0,0,0,0,0,0,0
"143","cheW",0,1,0,0,0,0,0,0,0,0,0
"144","cheZ",0,1,0,0,0,0,0,0,0,0,0
"145","eno",1,0,0,1,0,0,0,0,0,0,0
"146","flgH",1,0,0,1,0,0,0,0,0,0,0
"147","fliP",1,0,0,1,0,0,0,0,0,0,0
"148","fliQ",1,0,0,1,0,0,0,0,0,0,0
"149","eco",0,1,0,0,0,0,0,0,0,0,0
"150","cspD",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0
"151","dnaK",0,1,0,0,0,0,0,0,0,0,0
"152","flgD",1,0,0,1,0,0,0,0,0,0,0
"153","flgE",1,0,0,1,0,0,0,0,0,0,0
"154","flgF",1,0,0,1,0,0,0,0,0,0,0
"155","flgG",1,0,0,1,0,0,0,0,0,0,0
"156","flgI",1,0,0,1,0,0,0,0,0,0,0
"157","gatA",1,0,0,0.5,0,0,0,0,0.5,0,0
"158","gatB",1,0,0,0.5,0,0,0,0,0.5,0,0
"159","gatZ",1,0,0,0.5,0,0,0,0,0.5,0,0
"160","glcC",1,0,0,0.2,0,0.2,0,0,0.4,0.2,0
"161","gltA",1,0,0,0.25,0.125,0,0.125,0.25,0.25,0,0
"162","hslJ",1,0,0,0,0,0,0,0,1,0,0
"163","lpxD",1,0,0,0,0,0,0,1,0,0,0
"164","nuoC",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143,0
"165","rpoE",1,0,0,0.391304347826087,0.0869565217391304,0,0.0869565217391304,0.0869565217391304,0.347826086956522,0,0
"166","rseA",1,0,0,0.571428571428572,0.0571428571428571,0.0857142857142857,0.0571428571428571,0.0857142857142857,0.142857142857143,0,0
"167","glgS",1,0,0,0,0,0,0,0.5,0.5,0,0
"168","htpX",1,0,0,0,0,0,1,0,0,0,0
"169","miaA",1,0,0,1,0,0,0,0,0,0,0
"170","nmpC",0,1,0,0,0,0,0,0,0,0,0
"171","rpoH",1,0,0,0.65,0,0,0,0.25,0.1,0,0
"172","sdaC",0,1,0,0,0,0,0,0,0,0,0
"173","dinI",1,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0
"174","dinJ",1,0,0,0,0,0.285714285714286,0.285714285714286,0,0.428571428571429,0,0
"175","fadL",1,0,0.142857142857143,0.285714285714286,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0
"176","fliD",1,0,0,1,0,0,0,0,0,0,0
"177","fliF",1,0,0,0.625,0,0.125,0,0,0.25,0,0
"178","fliG",1,0,0,0.625,0,0.125,0,0,0.25,0,0
"179","fliI",1,0,0,0.625,0,0.125,0,0,0.25,0,0
"180","fliJ",1,0,0,0.625,0,0.125,0,0,0.25,0,0
"181","fliK",1,0,0,0.625,0,0.125,0,0,0.25,0,0
"182","fliL",1,0,0,1,0,0,0,0,0,0,0
"183","fliM",1,0,0,1,0,0,0,0,0,0,0
"184","fliN",1,0,0,1,0,0,0,0,0,0,0
"185","fliO",1,0,0,1,0,0,0,0,0,0,0
"186","fliS",1,0,0,1,0,0,0,0,0,0,0
"187","fliT",1,0,0,1,0,0,0,0,0,0,0
"188","galM",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"189","groL",1,0,0,1,0,0,0,0,0,0,0
"190","groS",1,0,0,0.4,0.2,0,0,0,0.2,0.2,0
"191","hslU",0,1,0,0,0,0,0,0,0,0,0
"192","hslV",0,1,0,0,0,0,0,0,0,0,0
"193","osmB",1,0,0,1,0,0,0,0,0,0,0
"194","potD",0,1,0,0,0,0,0,0,0,0,0
"195","pyrL",0,1,0,0,0,0,0,0,0,0,0
"196","motA",0,1,0,0,0,0,0,0,0,0,0
"197","nlpA",1,0,0,0,0,1,0,0,0,0,0
"198","rbsD",1,0,0,0.2,0,0,0.2,0,0.6,0,0
"199","sucD",1,0,0.111111111111111,0.222222222222222,0.111111111111111,0.0555555555555556,0.111111111111111,0.111111111111111,0.277777777777778,0,0
"200","yagU",1,0,0,0.5,0,0,0,0.5,0,0,0
"201","ybfA",0,1,0,0,0,0,0,0,0,0,0
"202","ydgD",0,1,0,0,0,0,0,0,0,0,0
"203","yejG",0,1,0,0,0,0,0,0,0,0,0
"204","yccA",1,0,0,1,0,0,0,0,0,0,0
"205","ygdR",0,1,0,0,0,0,0,0,0,0,0
"206","ygdQ",0,1,0,0,0,0,0,0,0,0,0
"207","yhcN",0,1,0,0,0,0,0,0,0,0,0
"208","yigI",0,1,0,0,0,0,0,0,0,0,0
"209","ylaC",0,1,0,0,0,0,0,0,0,0,0
"210","yraQ",0,1,0,0,0,0,0,0,0,0,0
"211","yhiI",0,1,0,0,0,0,0,0,0,0,0
"212","yjiX",0,1,0,0,0,0,0,0,0,0,0
"213","yqjC",0,1,0,0,0,0,0,0,0,0,0
"214","recA",1,0,0,0,0,0.5,0,0,0.5,0,0
"215","speA",1,0,0,0,0,0,0,0,1,0,0
"216","speD",0,1,0,0,0,0,0,0,0,0,0
"217","uvrY",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0
"218","yciI",0,1,0,0,0,0,0,0,0,0,0
"219","ygiC",1,0,0,0.5,0,0,0,0.5,0,0,0
"220","yqgB",0,1,0,0,0,0,0,0,0,0,0
"221","tap",0,1,0,0,0,0,0,0,0,0,0
"222","tar",0,1,0,0,0,0,0,0,0,0,0
"223","tsr",1,0,0,0.5,0,0,0,0,0.5,0,0
"224","tsx",1,0,0,0,0,0,0,0,1,0,0
"225","ybjX",1,0,0,0,0,0.5,0,0,0.5,0,0
"226","yffB",1,0,0,1,0,0,0,0,0,0,0
"227","ykfB",0,1,0,0,0,0,0,0,0,0,0
"228","ymdA",0,1,0,0,0,0,0,0,0,0,0
"229","zntR",0,1,0,0,0,0,0,0,0,0,0
"230","fucK",1,0,0,0.666666666666667,0.166666666666667,0,0,0,0.166666666666667,0,0
"231","gpsA",1,0,0,1,0,0,0,0,0,0,0
"232","hslR",0,1,0,0,0,0,0,0,0,0,0
"233","hupA",1,0,0,0,0,0,0,1,0,0,0
"234","phoB",0,1,0,0,0,0,0,0,0,0,0
"235","aceE",1,0,0,0.181818181818182,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0.363636363636364,0.0909090909090909,0
"236","cyoA",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667,0
"237","cyoC",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667,0
"238","cyoD",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667,0
"239","dsbB",0,1,0,0,0,0,0,0,0,0,0
"240","gnd",1,0,0,0.25,0,0,0.25,0,0.5,0,0
"241","gpt",1,0,0,0,0,0,0,0,1,0,0
"242","guaA",1,0,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.5,0,0
"243","hha",1,0,0,0.5,0,0,0,0,0.5,0,0
"244","metK",1,0,0,0.2,0,0.2,0,0,0.6,0,0
"245","ndk",0,1,0,0,0,0,0,0,0,0,0
"246","nuoG",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143,0
"247","nuoH",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143,0
"248","nuoI",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143,0
"249","nuoJ",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143,0
"250","nuoK",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143,0
"251","nuoL",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143,0
"252","oppB",1,0,0.5,0,0,0,0.5,0,0,0,0
"253","oppC",1,0,0.4,0,0,0,0.6,0,0,0,0
"254","pmrD",0,1,0,0,0,0,0,0,0,0,0
"255","pstS",1,0,0,0.666666666666667,0.0833333333333333,0.0833333333333333,0,0.166666666666667,0,0,0
"256","rne",0,1,0,0,0,0,0,0,0,0,0
