"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1"
"1","frmA",0,1,0,0,0,0,0,0,0,0
"2","marR",1,0,0,0.555555555555556,0,0.166666666666667,0,0.166666666666667,0.0555555555555556,0.0555555555555556
"3","marA",1,0,0,0.210526315789474,0,0.0526315789473684,0.105263157894737,0.105263157894737,0.473684210526316,0.0526315789473684
"4","marB",1,0,0,0.357142857142857,0,0.142857142857143,0.0714285714285714,0.107142857142857,0.285714285714286,0.0357142857142857
"5","rprA",0,1,0,0,0,0,0,0,0,0
"6","rpoS",1,0,0.111111111111111,0.277777777777778,0,0.111111111111111,0,0.0555555555555556,0.333333333333333,0.111111111111111
"7","phoP",0,1,0,0,0,0,0,0,0,0
"8","phoU",1,0,0,0.8,0,0,0,0.2,0,0
"9","pstB",1,0,0,0.8,0,0,0,0.2,0,0
"10","rclB",0,1,0,0,0,0,0,0,0,0
"11","tsuA",0,1,0,0,0,0,0,0,0,0
"12","tsuB",0,1,0,0,0,0,0,0,0,0
"13","hiuH",1,0,0,1,0,0,0,0,0,0
"14","msrP",1,0,0,1,0,0,0,0,0,0
"15","msrQ",1,0,0,1,0,0,0,0,0,0
"16","yjgH",0,1,0,0,0,0,0,0,0,0
"17","bdcA",0,1,0,0,0,0,0,0,0,0
"18","ahpF",1,0,0,0.75,0,0,0,0,0.25,0
"19","yfcF",0,1,0,0,0,0,0,0,0,0
"20","ahpC",1,0,0,0.5,0,0,0,0,0.5,0
"21","recN",1,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0
"22","nfo",1,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0
"23","hscA",0,1,0,0,0,0,0,0,0,0
"24","iscX",0,1,0,0,0,0,0,0,0,0
"25","gshB",0,1,0,0,0,0,0,0,0,0
"26","cbl",1,0,0,0.6,0,0,0,0.2,0.2,0
"27","cysC",1,0,0,1,0,0,0,0,0,0
"28","cysH",1,0,0,0.5,0,0,0,0.5,0,0
"29","cysA",1,0,0,0.5,0,0,0,0,0.5,0
"30","cysW",1,0,0,0.5,0,0,0,0,0.5,0
"31","tcyJ",1,0,0.0606060606060606,0.303030303030303,0.0303030303030303,0.363636363636364,0.121212121212121,0,0.121212121212121,0
"32","pepB",0,1,0,0,0,0,0,0,0,0
"33","bhsA",1,0,0,0.4,0,0,0.2,0,0.2,0.2
"34","ldtC",1,0,0,1,0,0,0,0,0,0
"35","comR",0,1,0,0,0,0,0,0,0,0
"36","mcbA",0,1,0,0,0,0,0,0,0,0
"37","groS",1,0,0,0.4,0.2,0,0,0,0.2,0.2
"38","hslU",0,1,0,0,0,0,0,0,0,0
"39","groL",1,0,0,1,0,0,0,0,0,0
"40","kefC",0,1,0,0,0,0,0,0,0,0
"41","tcyN",0,1,0,0,0,0,0,0,0,0
"42","msrP",1,0,0,1,0,0,0,0,0,0
"43","msrQ",1,0,0,1,0,0,0,0,0,0
"44","ybjC",1,0,0,0.571428571428571,0,0,0,0.285714285714286,0.142857142857143,0
"45","cynT",1,0,0,0.5,0,0.5,0,0,0,0
"46","cynS",1,0,0,1,0,0,0,0,0,0
"47","cynX",1,0,0,1,0,0,0,0,0,0
"48","yqhG",0,1,0,0,0,0,0,0,0,0
"49","arnB",0,1,0,0,0,0,0,0,0,0
"50","osmY",1,0,0.15,0.05,0,0.1,0.3,0,0.4,0
"51","gadB",1,0,0.0606060606060606,0.393939393939394,0,0.272727272727273,0.0606060606060606,0,0.212121212121212,0
"52","dps",1,0,0.0714285714285714,0.428571428571428,0,0,0,0.142857142857143,0.357142857142857,0
"53","nrdE",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"54","nrdI",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"55","sufC",1,0,0,0.375,0,0.125,0,0.25,0.25,0
"56","sufD",1,0,0,0.375,0,0.125,0,0.25,0.25,0
"57","sodA",1,0,0.0909090909090909,0.242424242424242,0,0.181818181818182,0.181818181818182,0.0606060606060606,0.242424242424242,0
"58","nrdF",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"59","sufA",1,0,0,0.375,0,0.125,0,0.25,0.25,0
"60","sufS",1,0,0,0.375,0,0.125,0,0.25,0.25,0
"61","nrdH",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"62","sufB",1,0,0,0.375,0,0.125,0,0.25,0.25,0
"63","iscR",1,0,0,0,0,0,0,0,1,0
"64","msrA",0,1,0,0,0,0,0,0,0,0
"65","sodB",1,0,0,0,0,0,0.428571428571429,0,0.571428571428571,0
"66","iscA",1,0,0,0,0,0,0,0,1,0
"67","chaA",0,1,0,0,0,0,0,0,0,0
"68","uspE",0,1,0,0,0,0,0,0,0,0
"69","cysK",1,0,0,1,0,0,0,0,0,0
"70","osmC",1,0,0,0.571428571428571,0,0.285714285714286,0,0,0.142857142857143,0
"71","add",1,0,0,1,0,0,0,0,0,0
"72","iscU",1,0,0,0,0,0,0,0,1,0
"73","phoA",1,0,0,1,0,0,0,0,0,0
"74","yqhD",0,1,0,0,0,0,0,0,0,0
"75","nrdI",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"76","nrdH",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"77","phoA",1,0,0,1,0,0,0,0,0,0
"78","sufA",1,0,0,0.375,0,0.125,0,0.25,0.25,0
"79","sufS",1,0,0,0.375,0,0.125,0,0.25,0.25,0
"80","sufC",1,0,0,0.375,0,0.125,0,0.25,0.25,0
"81","uspE",0,1,0,0,0,0,0,0,0,0
"82","chaA",0,1,0,0,0,0,0,0,0,0
"83","fdx",0,1,0,0,0,0,0,0,0,0
