"","V1","FBL","No_FBL","Inhibiting","Activating"
"1","cfa",0,1,0,0
"2","yeaQ",0,1,0,0
"3","ompC",0,1,0,0
"4","slp",0,1,0,0
"5","hdeB",0,1,0,0
"6","hdeD",0,1,0,0
"7","osmY",0,1,0,0
"8","cbpA",0,1,0,0
"9","hdeA",0,1,0,0
"10","yahO",0,1,0,0
"11","yccJ",0,1,0,0
"12","asr",0,1,0,0
"13","ydiZ",0,1,0,0
"14","yebV",0,1,0,0
"15","yhiM",0,1,0,0
"16","wrbA",0,1,0,0
"17","ycaC",0,1,0,0
"18","gadB",0,1,0,0
"19","gadA",0,1,0,0
"20","yiaG",0,1,0,0
"21","dps",0,1,0,0
"22","ybaT",0,1,0,0
"23","aceK",0,1,0,0
"24","acnA",0,1,0,0
"25","add",0,1,0,0
"26","ahpF",0,1,0,0
"27","alaT",0,1,0,0
"28","alaU",0,1,0,0
"29","aroA",0,1,0,0
"30","aroH",0,1,0,0
"31","aroP",0,1,0,0
"32","bcsE",0,1,0,0
"33","cyaA",0,1,0,0
"34","cyoB",0,1,0,0
"35","dadA",0,1,0,0
"36","dadX",0,1,0,0
"37","acrR",0,1,0,0
"38","atpH",0,1,0,0
"39","bax",0,1,0,0
"40","bioB",0,1,0,0
"41","borD",0,1,0,0
"42","btuB",0,1,0,0
"43","cirA",0,1,0,0
"44","cpxA",0,1,0,0
"45","cpxR",1,0,0.4,0.6
"46","dadX",0,1,0,0
"47","dcuR",0,1,0,0
"48","artM",0,1,0,0
"49","asnA",0,1,0,0
"50","aspA",0,1,0,0
"51","atpA",0,1,0,0
"52","atpB",0,1,0,0
"53","atpC",0,1,0,0
"54","atpD",0,1,0,0
"55","atpE",0,1,0,0
"56","atpF",0,1,0,0
"57","atpG",0,1,0,0
"58","atpI",0,1,0,0
"59","aer",0,1,0,0
"60","cca",0,1,0,0
"61","cdd",0,1,0,0
"62","cheA",0,1,0,0
"63","cheB",0,1,0,0
"64","cheR",0,1,0,0
"65","cheW",0,1,0,0
"66","cheY",0,1,0,0
"67","cheZ",0,1,0,0
"68","clpB",0,1,0,0
"69","clpX",0,1,0,0
"70","deoA",0,1,0,0
"71","deoB",0,1,0,0
"72","deoC",0,1,0,0
"73","deoD",0,1,0,0
"74","dapB",0,1,0,0
"75","dcyD",0,1,0,0
"76","edd",0,1,0,0
"77","eno",0,1,0,0
"78","fdoG",0,1,0,0
"79","fimA",0,1,0,0
"80","fimC",0,1,0,0
"81","fimI",0,1,0,0
"82","flgH",0,1,0,0
"83","flhA",0,1,0,0
"84","flhE",0,1,0,0
"85","fliP",0,1,0,0
"86","fliQ",0,1,0,0
"87","fliR",0,1,0,0
"88","fumA",0,1,0,0
"89","gapC",0,1,0,0
"90","dcuS",0,1,0,0
"91","dppC",0,1,0,0
"92","dusA",0,1,0,0
"93","eco",0,1,0,0
"94","fdhD",0,1,0,0
"95","fhuD",0,1,0,0
"96","folP",0,1,0,0
"97","frdA",0,1,0,0
"98","frdC",0,1,0,0
"99","ftnB",0,1,0,0
"100","fucI",0,1,0,0
"101","gcvH",0,1,0,0
"102","carA",0,1,0,0
"103","coaA",0,1,0,0
"104","codB",0,1,0,0
"105","cspD",0,1,0,0
"106","cvpA",0,1,0,0
"107","cydA",0,1,0,0
"108","cydB",0,1,0,0
"109","cydC",0,1,0,0
"110","cydD",0,1,0,0
"111","dnaJ",0,1,0,0
"112","dnaK",0,1,0,0
"113","dsbC",0,1,0,0
"114","fdoH",0,1,0,0
"115","flgB",0,1,0,0
"116","flgC",0,1,0,0
"117","flgD",0,1,0,0
"118","flgE",0,1,0,0
"119","flgF",0,1,0,0
"120","flgG",0,1,0,0
"121","flgI",0,1,0,0
"122","flgJ",0,1,0,0
"123","flgK",0,1,0,0
"124","flgL",0,1,0,0
"125","gatA",0,1,0,0
"126","gatB",0,1,0,0
"127","gatC",0,1,0,0
"128","gatD",0,1,0,0
"129","gatZ",0,1,0,0
"130","glcC",0,1,0,0
"131","gltA",0,1,0,0
"132","gltB",0,1,0,0
"133","gltD",0,1,0,0
"134","gpmA",0,1,0,0
"135","grxA",0,1,0,0
"136","gshA",0,1,0,0
"137","gshB",0,1,0,0
"138","hemB",0,1,0,0
"139","hsdR",0,1,0,0
"140","hsdS",0,1,0,0
"141","hslJ",0,1,0,0
"142","iap",0,1,0,0
"143","idi",0,1,0,0
"144","ispF",0,1,0,0
"145","kgtP",0,1,0,0
"146","lipA",0,1,0,0
"147","lldD",0,1,0,0
"148","lpxD",0,1,0,0
"149","lysC",0,1,0,0
"150","map",0,1,0,0
"151","marB",0,1,0,0
"152","marR",1,0,1,0
"153","mdaB",0,1,0,0
"154","mdtG",0,1,0,0
"155","menF",0,1,0,0
"156","metN",0,1,0,0
"157","mltC",0,1,0,0
"158","mqo",0,1,0,0
"159","murE",0,1,0,0
"160","murF",0,1,0,0
"161","nfsA",0,1,0,0
"162","nuoC",0,1,0,0
"163","nuoN",0,1,0,0
"164","pdhR",0,1,0,0
"165","pdxY",0,1,0,0
"166","proP",0,1,0,0
"167","rbsA",0,1,0,0
"168","rbsC",0,1,0,0
"169","rcsA",0,1,0,0
"170","rimI",0,1,0,0
"171","rpoE",1,0,0,1
"172","rseA",0,1,0,0
"173","rseB",0,1,0,0
"174","sdhA",0,1,0,0
"175","sdhB",0,1,0,0
"176","serV",0,1,0,0
"177","gcvT",0,1,0,0
"178","glgS",0,1,0,0
"179","glpA",0,1,0,0
"180","hflC",0,1,0,0
"181","hflK",0,1,0,0
"182","hflX",0,1,0,0
"183","htpX",0,1,0,0
"184","ilvB",0,1,0,0
"185","ilvG",0,1,0,0
"186","ilvN",0,1,0,0
"187","ivbL",0,1,0,0
"188","katG",0,1,0,0
"189","maa",0,1,0,0
"190","manX",0,1,0,0
"191","mhpC",0,1,0,0
"192","miaA",0,1,0,0
"193","mutL",0,1,0,0
"194","nadA",0,1,0,0
"195","nmpC",0,1,0,0
"196","nrdD",0,1,0,0
"197","nrdG",0,1,0,0
"198","yjdM",0,1,0,0
"199","pitA",0,1,0,0
"200","pntA",0,1,0,0
"201","ppiA",0,1,0,0
"202","pppA",0,1,0,0
"203","proV",0,1,0,0
"204","purD",0,1,0,0
"205","purL",0,1,0,0
"206","purN",0,1,0,0
"207","putA",0,1,0,0
"208","recR",0,1,0,0
"209","rpoH",1,0,0,1
"210","rzpD",0,1,0,0
"211","sdaB",0,1,0,0
"212","sdaC",0,1,0,0
"213","secD",0,1,0,0
"214","dedA",0,1,0,0
"215","dinI",0,1,0,0
"216","dinJ",0,1,0,0
"217","eptB",0,1,0,0
"218","fadL",0,1,0,0
"219","folD",0,1,0,0
"220","fucR",0,1,0,0
"221","glmU",0,1,0,0
"222","glpB",0,1,0,0
"223","glpC",0,1,0,0
"224","flgM",0,1,0,0
"225","flgN",0,1,0,0
"226","fliA",1,0,0,1
"227","fliC",0,1,0,0
"228","fliD",0,1,0,0
"229","fliE",0,1,0,0
"230","fliF",0,1,0,0
"231","fliG",0,1,0,0
"232","fliH",0,1,0,0
"233","fliI",0,1,0,0
"234","fliJ",0,1,0,0
"235","fliK",0,1,0,0
"236","fliL",0,1,0,0
"237","fliM",0,1,0,0
"238","fliN",0,1,0,0
"239","fliO",0,1,0,0
"240","glpX",0,1,0,0
"241","glyA",0,1,0,0
"242","hisF",0,1,0,0
"243","hisH",0,1,0,0
"244","hisI",0,1,0,0
"245","hisJ",0,1,0,0
"246","ispE",0,1,0,0
"247","malT",0,1,0,0
"248","fliS",0,1,0,0
"249","fliT",0,1,0,0
"250","fliZ",1,0,1,0
"251","galM",0,1,0,0
"252","gdhA",0,1,0,0
"253","yhgH",0,1,0,0
"254","groL",0,1,0,0
"255","groS",0,1,0,0
"256","grpE",0,1,0,0
"257","hslO",0,1,0,0
"258","hslU",0,1,0,0
"259","hslV",0,1,0,0
"260","htpG",0,1,0,0
"261","ygiM",0,1,0,0
"262","osmB",0,1,0,0
"263","potD",0,1,0,0
"264","purA",0,1,0,0
"265","purC",0,1,0,0
"266","purH",0,1,0,0
"267","purK",0,1,0,0
"268","purM",0,1,0,0
"269","pyrB",0,1,0,0
"270","pyrC",0,1,0,0
"271","pyrL",0,1,0,0
"272","lipB",0,1,0,0
"273","lon",0,1,0,0
"274","modB",0,1,0,0
"275","motA",0,1,0,0
"276","motB",0,1,0,0
"277","nhaB",0,1,0,0
"278","nlpA",0,1,0,0
"279","nupG",0,1,0,0
"280","ompT",0,1,0,0
"281","prlC",0,1,0,0
"282","rbsB",0,1,0,0
"283","rbsD",0,1,0,0
"284","rbsK",0,1,0,0
"285","ymcE",0,1,0,0
"286","sthA",0,1,0,0
"287","sucA",0,1,0,0
"288","sucD",0,1,0,0
"289","tas",0,1,0,0
"290","tehA",0,1,0,0
"291","thrC",0,1,0,0
"292","trpB",0,1,0,0
"293","uspD",0,1,0,0
"294","xseA",0,1,0,0
"295","yagU",0,1,0,0
"296","ybaK",0,1,0,0
"297","ybfD",0,1,0,0
"298","ybjC",0,1,0,0
"299","tatD",0,1,0,0
"300","tgt",0,1,0,0
"301","tnaB",0,1,0,0
"302","tnaC",0,1,0,0
"303","treB",0,1,0,0
"304","treC",0,1,0,0
"305","ubiB",0,1,0,0
"306","yagE",0,1,0,0
"307","yajC",0,1,0,0
"308","ybaL",0,1,0,0
"309","ybfA",0,1,0,0
"310","ybjN",0,1,0,0
"311","ycfP",0,1,0,0
"312","ydgD",0,1,0,0
"313","ydiH",0,1,0,0
"314","yecD",0,1,0,0
"315","yejG",0,1,0,0
"316","yfcA",0,1,0,0
"317","yfcD",0,1,0,0
"318","yfcE",0,1,0,0
"319","yfjF",0,1,0,0
"320","ygbE",0,1,0,0
"321","yccA",0,1,0,0
"322","ydhF",0,1,0,0
"323","ygaH",0,1,0,0
"324","ygaZ",0,1,0,0
"325","ygdR",0,1,0,0
"326","yghG",0,1,0,0
"327","yghJ",0,1,0,0
"328","yghJ",0,1,0,0
"329","ygiB",0,1,0,0
"330","ygdQ",0,1,0,0
"331","ygiW",0,1,0,0
"332","yhcN",0,1,0,0
"333","yheO",0,1,0,0
"334","yieE",0,1,0,0
"335","yieF",0,1,0,0
"336","yigI",0,1,0,0
"337","yjeM",0,1,0,0
"338","yjjU",0,1,0,0
"339","ykgA",0,1,0,0
"340","ylaC",0,1,0,0
